Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Id,Time,acc_diff_x,acc_diff_y,acc_diff_z,acc_ma_x,acc_ma_y,acc_ma_z
33704,0.174682,-1.684607,-9.533346,3.01,6.72,7.14,-101.051407,-147.157852,-196.576157,265,5.3,-0.1507529999999999,-0.236898,-0.196218,0.2500585,-1.5661579999999995,-9.435237
33724,0.107681,-1.849718,-9.887496,3.15,3.71,10.29,-100.759346,-146.134811,-195.555649,266,5.32,-0.067001,-0.165111,-0.3541500000000006,0.1411815,-1.7671625,-9.710421
33744,0.387651,-1.885612,-9.729565,1.26,3.78,13.02,-97.972992,-146.852173,-193.738876,267,5.34,0.27997,-0.035894,0.1579310000000013,0.247666,-1.867665,-9.8085305
33764,0.303899,-1.837753,-9.621883,2.8,5.81,12.67,-101.000031,-147.426834,-196.203629,268,5.36,-0.083752,0.047859,0.1076819999999987,0.345775,-1.8616825,-9.675724
33784,0.58387,-1.804253,-9.925783,4.27,14.07,13.58,-101.211136,-147.392487,-196.336304,269,5.38,0.279971,0.0334999999999998,-0.3038999999999987,0.4438845,-1.821003,-9.773833
33804,0.622156,-2.251727,-10.339756,6.3,28.42,16.66,-99.017471,-149.598206,-194.499023,270,5.4,0.038286,-0.4474739999999997,-0.4139730000000003,0.603013,-2.02799,-10.132769499999998
33824,0.770516,-3.141888,-11.311276,-3.15,48.16,13.79,-100.576927,-146.454956,-197.436035,271,5.42,0.1483599999999999,-0.890161,-0.97152,0.6963360000000001,-2.6968075,-10.825516
33843,0.839911,-2.598698,-12.476623,-21.49,77.629997,3.99,-97.379105,-148.5634,-195.307877,272,5.44,0.0693949999999999,0.5431899999999996,-1.1653470000000006,0.8052135,-2.870293,-11.8939495
33863,1.33285,-2.864311,-11.861646,-49.490002,93.730003,-8.26,-95.995552,-148.823624,-197.185684,273,5.46,0.4929390000000001,-0.2656129999999996,0.6149769999999997,1.0863805000000002,-2.7315045,-12.1691345
33883,0.808803,-3.405108,-9.916211,-47.18,89.669998,-14.28,-93.732422,-147.334076,-195.534943,274,5.48,-0.524047,-0.540797,1.945435,1.0708265,-3.1347095,-10.8889285
33903,0.973914,-2.921741,-9.619491,-28.35,86.029999,-18.549999,-90.505775,-144.155899,-194.011871,275,5.5,0.1651109999999999,0.4833669999999999,0.2967200000000005,0.8913585000000002,-3.1634245,-9.767851
33923,1.148596,-1.220383,-9.286877,-34.16,99.260002,-32.41,-86.860413,-144.246994,-193.912247,276,5.52,0.174682,1.701358,0.3326139999999995,1.061255,-2.071062,-9.453184
33943,2.388122,-1.811431,-9.832459,-22.26,48.16,-22.4,-83.476669,-143.475006,-191.975662,277,5.54,1.239526,-0.591048,-0.5455819999999996,1.7683590000000002,-1.515907,-9.559668
33963,2.852346,-2.790131,-11.031306,-17.360001,31.360001,-36.540001,-80.00988,-143.804688,-192.19751,278,5.56,0.4642239999999997,-0.9787,-1.1988470000000009,2.620234,-2.300781,-10.4318825
33983,3.347678,-2.845168,-11.691749,-5.39,35.77,-35.209999,-79.158211,-145.820236,-193.401611,279,5.58,0.4953320000000003,-0.055037,-0.660442999999999,3.1000120000000004,-2.8176495000000004,-11.3615275
34003,4.008121,-2.459909,-11.928647,-6.86,50.400002,-39.689999,-79.638695,-147.363739,-196.195358,280,5.6,0.6604429999999999,0.385259,-0.236898,3.6778995,-2.6525385000000004,-11.810198
34023,4.065551,-1.775538,-11.282561,-17.360001,66.919998,-54.110001,-78.346725,-145.483734,-197.693161,281,5.62,0.05743,0.6843710000000001,0.6460860000000004,4.036836,-2.1177235000000003,-11.605604
34043,4.139731,-1.277813,-10.739371,-26.040001,76.160004,-57.049999,-74.494965,-145.610138,-197.601196,282,5.64,0.0741800000000001,0.497725,0.5431899999999992,4.102641,-1.5266755,-11.010966
34063,4.383808,-1.045701,-10.370864,-35.98,78.400002,-59.990002,-71.765999,-146.899155,-199.810577,283,5.66,0.2440769999999998,0.2321120000000001,0.368507000000001,4.2617695,-1.1617570000000002,-10.5551175
34083,5.005964,-1.55539,-10.313434,-37.869999,79.519997,-58.939999,-70.488937,-141.542664,-199.009796,284,5.68,0.6221559999999995,-0.5096890000000001,0.0574299999999983,4.694886,-1.3005455,-10.342149
34103,5.240469,-0.983485,-10.385221,-27.16,80.220001,-58.59,-64.496071,-139.92543,-199.744553,285,5.7,0.2345050000000004,0.571905,-0.0717869999999987,5.1232165,-1.2694375,-10.3493275
34123,6.054058,0.129217,-10.595797,-27.860001,88.830002,-64.610001,-63.795036,-137.933502,-200.377457,286,5.72,0.8135890000000003,1.112702,-0.2105759999999996,5.6472635,-0.427134,-10.490509
34143,6.707321,1.387887,-10.734586,-40.110001,104.93,-72.309998,-63.580509,-138.806458,-203.617722,287,5.74,0.6532629999999999,1.2586700000000002,-0.1387890000000009,6.380689500000001,0.7585520000000001,-10.6651915
34163,6.453673,1.284992,-9.839638,-45.080002,112.0,-70.559998,-62.139122,-137.73436,-204.13826,288,5.76,-0.2536480000000001,-0.1028950000000001,0.8949479999999994,6.580497,1.3364395,-10.287112
34183,6.034914,1.225169,-9.028442,-36.959999,112.770004,-65.379997,-60.760601,-133.755417,-206.105698,289,5.78,-0.4187590000000005,-0.0598229999999999,0.8111960000000007,6.2442935,1.2550805,-9.43404
34203,5.917662,1.940648,-8.554646,-31.290001,114.660004,-65.519997,-54.816612,-134.229187,-205.248199,290,5.8,-0.1172519999999996,0.715479,0.4737960000000001,5.976288,1.5829085,-8.791544
34223,6.264633,2.258905,-8.238783,-32.619999,118.860001,-65.940002,-52.242554,-131.231842,-205.855591,291,5.82,0.3469709999999999,0.318257,0.3158630000000002,6.0911475,2.0997765,-8.3967145
34243,6.326849,2.952849,-8.001884,-36.68,125.160004,-66.57,-51.591576,-127.650513,-207.187714,292,5.84,0.0622160000000002,0.6939440000000001,0.2368989999999993,6.295741,2.6058770000000004,-8.120333500000001
34263,6.544604,3.271105,-7.532875,-37.450001,125.440002,-57.82,-49.593971,-128.297577,-210.399887,293,5.86,0.2177549999999994,0.3182559999999999,0.4690090000000007,6.4357265,3.1119770000000004,-7.7673795
34283,6.152167,3.464931,-6.858075,-36.330002,121.379997,-54.740002,-47.082027,-126.353661,-211.333786,294,5.88,-0.3924369999999992,0.193826,0.6747999999999994,6.3483855,3.368018,-7.195475
34303,6.054058,3.744901,-6.025342,-29.120001,111.440002,-42.91,-45.00729,-124.903778,-215.296249,295,5.9,-0.098109,0.27997,0.8327330000000002,6.1031125,3.604916,-6.441708500000001
34323,6.247883,4.577633,-5.21654,-23.799999,100.519997,-28.49,-40.873211,-119.768974,-214.413712,296,5.92,0.1938249999999994,0.8327319999999996,0.808802,6.1509705,4.1612670000000005,-5.620941
34343,6.834146,5.230897,-4.891104,-34.509998,94.639999,-23.309999,-38.114773,-124.251617,-217.329605,297,5.94,0.5862629999999998,0.6532640000000001,0.3254359999999998,6.541014499999999,4.904265,-5.053822
34363,6.3771,4.754708,-4.379022,-52.639999,87.709999,-23.450001,-38.116062,-125.09124,-220.842896,298,5.96,-0.4570459999999992,-0.4761889999999997,0.5120820000000004,6.605623,4.9928025,-4.635063000000001
34383,5.963127,4.060765,-3.845403,-56.209999,76.650002,-12.95,-36.853996,-120.297478,-222.805298,299,5.98,-0.4139730000000003,-0.693943,0.5336189999999998,6.1701135,4.4077365,-4.1122125
34403,6.271812,4.134945,-3.579791,-48.93,63.07,0.49,-35.771065,-121.022972,-223.64209,300,6.0,0.3086849999999996,0.0741800000000001,0.2656119999999999,6.1174695,4.097855000000001,-3.712597
34423,6.046879,3.917191,-3.194532,-52.220001,55.650002,3.71,-35.773994,-118.942879,-226.777985,301,6.02,-0.224933,-0.2177540000000002,0.385259,6.1593455,4.026068,-3.3871615000000004
34443,5.929626,4.27852,-3.13471,-61.599998,52.57,6.51,-34.493656,-119.425812,-226.731979,302,6.04,-0.1172529999999998,0.3613290000000004,0.059822,5.9882525,4.0978555000000005,-3.1646210000000004
34463,6.448887,4.08948,-3.63722,-74.900002,52.080002,4.97,-35.10001,-120.156471,-229.801346,303,6.06,0.5192610000000002,-0.1890400000000003,-0.50251,6.1892565,4.184000000000001,-3.385965
34483,6.676214,3.067708,-3.814296,-80.010002,49.349998,2.66,-31.452465,-118.367386,-227.686218,304,6.08,0.2273269999999998,-1.021772,-0.177076,6.5625505,3.5785940000000007,-3.725758
34503,6.7145,3.048565,-3.792759,-72.660004,39.48,6.58,-30.705193,-116.925278,-229.257996,305,6.1,0.0382860000000002,-0.0191430000000001,0.0215369999999999,6.695357,3.0581365000000007,-3.8035275
34523,6.518281,3.522361,-3.570219,-62.16,35.560001,16.309999,-31.043036,-116.637833,-232.008499,306,6.12,-0.1962190000000001,0.4737960000000001,0.2225400000000004,6.6163905,3.2854630000000005,-3.681489
34543,6.554175,3.680293,-2.981564,-58.939999,34.09,24.5,-31.366745,-116.347412,-234.338013,307,6.14,0.0358939999999998,0.1579319999999997,0.5886549999999997,6.536228,3.6013270000000004,-3.2758915
34563,6.501531,3.627649,-2.412051,-61.18,28.700001,25.34,-31.12606,-115.055382,-233.690033,308,6.16,-0.0526439999999999,-0.0526439999999999,0.5695130000000002,6.527853,3.653971,-2.6968075
34583,7.037543,4.118195,-2.538876,-64.050003,22.190001,25.129999,-29.616205,-115.848564,-234.121124,309,6.18,0.5360120000000004,0.4905460000000001,-0.1268250000000002,6.769537,3.872922,-2.4754635
34603,6.858075,3.630042,-2.479053,-72.940002,19.25,20.16,-29.446596,-114.851288,-236.749191,310,6.2,-0.1794679999999999,-0.488153,0.0598230000000001,6.947809,3.8741185000000007,-2.5089645000000003
34623,6.472816,3.098816,-1.978935,-73.080002,15.61,21.0,-31.864746,-116.574463,-238.01976,311,6.22,-0.3852590000000004,-0.5312260000000002,0.5001179999999998,6.665445500000001,3.3644290000000003,-2.228994
34643,5.943984,2.971992,-1.457281,-63.349998,11.34,24.5,-30.730759,-113.328796,-238.433304,312,6.24,-0.5288319999999995,-0.1268239999999996,0.5216540000000001,6.2084,3.0354040000000007,-1.718108
34663,6.257455,3.0366,-0.892555,-56.77,3.01,29.26,-32.107502,-115.226646,-239.461441,313,6.26,0.3134709999999998,0.0646079999999997,0.5647260000000001,6.1007195,3.0042960000000005,-1.174918
34683,6.613998,2.730308,-0.82316,-52.709999,-4.9,25.129999,-31.233927,-114.317513,-239.586502,314,6.28,0.3565429999999994,-0.306292,0.0693949999999999,6.4357265,2.8834540000000004,-0.8578574999999999
34703,7.243333,2.519732,-1.943041,-46.830002,-18.200001,22.889999,-29.068521,-116.529175,-238.591202,315,6.3,0.6293350000000002,-0.2105760000000001,-1.119881,6.928665499999999,2.62502,-1.3831004999999998
34722,7.176332,2.019614,-2.589127,-42.209999,-25.549999,30.24,-30.169403,-114.767105,-239.813522,316,6.32,-0.0670009999999994,-0.5001180000000001,-0.6460859999999999,7.2098325,2.269673,-2.266084
34742,6.996863,1.49796,-2.23019,-41.369999,-25.690001,41.439999,-32.806759,-115.137505,-241.824112,317,6.34,-0.1794690000000001,-0.5216539999999998,0.358937,7.0865975,1.7587870000000003,-2.4096585
34762,6.891575,1.665464,-1.780324,-37.170002,-28.700001,43.889999,-30.226379,-115.539665,-238.828598,318,6.36,-0.1052880000000007,0.1675040000000001,0.4498659999999999,6.944219,1.5817120000000005,-2.005257
34782,6.298134,1.232348,-1.273027,-43.330002,-30.799999,42.490002,-31.255404,-116.962318,-239.494461,319,6.38,-0.5934409999999994,-0.433116,0.5072970000000001,6.5948545,1.4489060000000005,-1.5266755
34802,6.570926,0.425938,-1.304135,-49.91,-32.900002,35.700001,-32.203907,-117.60743,-240.443573,320,6.4,0.2727919999999999,-0.8064100000000001,-0.0311080000000001,6.4345300000000005,0.8291430000000004,-1.288581
34822,7.054293,0.698729,-1.832968,-51.380001,-34.93,27.719999,-34.584267,-114.802666,-239.36969,321,6.42,0.4833670000000003,0.272791,-0.5288329999999999,6.812609500000001,0.5623335000000005,-1.5685515
34842,7.305548,1.320885,-2.258905,-49.560001,-36.68,22.049999,-32.098969,-116.265213,-237.682999,322,6.44,0.2512549999999995,0.622156,-0.425937,7.1799205,1.0098070000000006,-2.0459365
34862,7.683628,1.222776,-2.091402,-45.779999,-39.759998,23.379999,-32.662075,-116.427193,-237.147202,323,6.46,0.3780799999999997,-0.098109,0.1675029999999999,7.494588,1.2718305000000003,-2.1751535
34882,7.906168,1.167739,-2.218226,-38.709999,-44.310001,26.32,-33.773266,-115.707634,-237.15239,324,6.48,0.2225400000000004,-0.055037,-0.126824,7.794898,1.1952575000000003,-2.154814
34902,7.731486,1.265848,-2.40248,-33.599998,-48.860001,30.799999,-33.032913,-116.62748,-237.040024,325,6.5,-0.1746819999999997,0.098109,-0.1842540000000001,7.818827000000001,1.2167935000000003,-2.310353
34922,7.398872,0.636514,-2.220619,-32.619999,-50.540001,28.280001,-35.034767,-115.220734,-236.63707,326,6.52,-0.3326140000000004,-0.6293340000000001,0.181861,7.565179,0.9511810000000004,-2.3115495000000004
34942,7.264869,0.536011,-2.112938,-30.52,-52.5,26.460001,-35.739193,-115.893257,-236.471191,327,6.54,-0.1340029999999998,-0.100503,0.1076809999999999,7.3318705,0.5862625000000005,-2.1667785000000004
34962,7.686021,0.41158,-2.747058,-22.049999,-60.830002,30.52,-36.511223,-114.140739,-234.052567,328,6.56,0.4211520000000002,-0.124431,-0.6341199999999998,7.475445000000001,0.4737955000000005,-2.4299980000000003
34982,7.884632,0.196218,-3.304606,-20.299999,-63.420002,26.25,-33.453403,-115.439301,-232.621017,329,6.58,0.1986109999999996,-0.215362,-0.5575480000000002,7.7853265,0.3038990000000005,-3.0258320000000003
35002,7.511339,0.516868,-3.522361,-18.34,-64.610001,21.139999,-36.412319,-114.119926,-231.105637,330,6.6,-0.3732929999999994,0.32065,-0.2177549999999999,7.6979855,0.3565430000000004,-3.4134835000000003
35022,7.731486,0.909305,-3.663542,-12.11,-68.739998,24.290001,-38.743488,-113.464294,-231.674728,331,6.62,0.2201469999999998,0.392437,-0.141181,7.6214125,0.7130865000000004,-3.5929515000000003
35042,8.549861,1.268241,-4.376629,-8.82,-69.93,28.91,-36.988693,-113.725136,-228.648636,332,6.64,0.8183749999999996,0.3589359999999999,-0.7130870000000002,8.1406735,1.0887730000000004,-4.0200855
35062,8.643184,0.861447,-4.958106,-14.84,-66.919998,22.75,-38.278564,-117.764183,-230.197098,333,6.66,0.0933229999999998,-0.406794,-0.5814769999999996,8.596522499999999,1.0648440000000003,-4.667367500000001
35082,8.557039,0.007179,-5.398401,-16.66,-61.25,21.35,-40.368179,-115.25679,-227.776016,334,6.68,-0.0861450000000001,-0.8542679999999999,-0.4402949999999999,8.6001115,0.4343130000000003,-5.1782535
35102,8.166995,-0.830339,-5.269184,-1.68,-62.23,34.16,-40.240986,-114.749229,-227.827087,335,6.7,-0.3900439999999996,-0.8375180000000001,0.1292169999999997,8.362017,-0.4115799999999996,-5.3337925
35122,7.980349,-1.289778,-4.862389,5.39,-59.150002,36.959999,-41.236618,-115.885056,-226.339523,336,6.72,-0.1866459999999996,-0.459439,0.4067949999999998,8.073672,-1.0600584999999998,-5.0657865
35142,7.477838,-1.488389,-4.477131,1.96,-57.610001,24.85,-40.998138,-116.953987,-223.867081,337,6.74,-0.5025110000000002,-0.1986109999999998,0.3852580000000003,7.7290935,-1.3890835,-4.66976
35162,7.530482,-0.796838,-4.833674,-0.91,-58.240002,15.82,-42.525517,-114.844353,-224.32399,338,6.76,0.0526439999999999,0.6915509999999999,-0.3565430000000003,7.504160000000001,-1.1426134999999995,-4.6554025
35182,7.994706,-0.696336,-5.896125,-3.85,-57.959999,5.18,-43.018402,-115.271339,-222.85434,339,6.78,0.4642239999999997,0.100502,-1.0624509999999994,7.762594,-0.7465869999999998,-5.3648995
35202,8.198103,-1.182097,-6.645106,-2.94,-55.720001,-1.68,-44.298744,-114.788406,-222.900345,340,6.8,0.2033969999999998,-0.485761,-0.7489810000000006,8.0964045,-0.9392164999999996,-6.2706155
35222,8.277069,-1.270634,-6.64032,3.29,-50.75,-3.64,-45.136391,-117.289894,-222.49704,341,6.82,0.0789659999999994,-0.088537,0.0047860000000001,8.237586,-1.2263654999999998,-6.6427130000000005
35242,7.626198,-1.16056,-6.334028,14.7,-51.66,-3.29,-44.299202,-115.549072,-220.231461,342,6.84,-0.6508709999999995,0.110074,0.306292,7.9516335,-1.2155969999999998,-6.487174
35262,7.786523,-0.382865,-6.551782,19.809999,-54.670002,-4.83,-45.592812,-114.509369,-218.356262,343,6.86,0.1603250000000002,0.777695,-0.2177540000000002,7.7063605,-0.7717124999999999,-6.442905
35282,7.887025,-0.636514,-6.669035,14.63,-52.009998,-8.54,-48.600571,-114.800186,-219.088593,344,6.88,0.1005020000000005,-0.253649,-0.1172529999999998,7.836774,-0.5096894999999999,-6.6104085
35302,7.647734,-0.710694,-6.535032,2.73,-44.939999,-26.6,-48.699505,-115.301796,-218.195541,345,6.9,-0.2392910000000006,-0.07418,0.1340029999999998,7.7673795,-0.6736039999999999,-6.6020335
35322,7.870275,-0.13161,-7.037543,2.03,-41.16,-39.34,-50.965168,-114.912163,-217.971115,346,6.92,0.2225410000000005,0.579084,-0.5025110000000002,7.7590045,-0.4211519999999999,-6.7862875
35342,8.490038,0.198611,-7.779344,24.639999,-45.920002,-24.219999,-48.360344,-114.268829,-215.771729,347,6.94,0.6197629999999998,0.330221,-0.7418009999999997,8.1801565,0.0335005000000001,-7.408443500000001
35362,8.176567,-0.023929,-7.169153,46.830002,-46.689999,-6.93,-48.867363,-114.698792,-214.723068,348,6.96,-0.3134709999999998,-0.22254,0.6101910000000004,8.333302500000002,0.0873410000000001,-7.4742485
35382,7.090187,-1.165346,-5.958341,54.18,-42.84,-4.2,-51.642113,-112.099274,-214.243668,349,6.98,-1.08638,-1.141417,1.2108119999999998,7.633377,-0.5946374999999999,-6.563746999999999
35402,6.322063,-1.447709,-5.620941,47.040001,-41.860001,-21.98,-48.144669,-119.302971,-212.880539,350,7.0,-0.7681240000000003,-0.2823629999999999,0.3373999999999997,6.706125,-1.3065274999999998,-5.789641
35422,6.195239,-1.775538,-5.92484,40.110001,-47.810001,-33.110001,-50.733173,-118.063171,-212.643433,351,7.02,-0.126824,-0.3278290000000001,-0.3038989999999995,6.258651,-1.6116235,-5.7728905
35442,6.381886,-2.309156,-6.300527,49.279999,-59.290001,-33.389999,-51.906052,-118.11718,-211.804031,352,7.04,0.1866469999999997,-0.5336180000000001,-0.3756870000000001,6.288562499999999,-2.042347,-6.112683499999999
35462,6.02295,-1.52189,-6.807824,55.02,-67.830002,-43.189999,-53.262207,-118.410767,-211.426437,353,7.06,-0.3589359999999999,0.7872660000000002,-0.5072970000000003,6.202418,-1.915523,-6.5541755
35482,6.30292,-0.612584,-7.781737,58.52,-72.940002,-46.41,-53.120026,-117.340492,-208.71431,354,7.08,0.2799700000000005,0.909306,-0.9739129999999996,6.162935,-1.067237,-7.2947805
35502,6.334028,-0.722658,-8.157424,63.0,-78.889999,-34.650002,-54.667236,-120.795364,-209.456558,355,7.1,0.0311079999999996,-0.110074,-0.375687000000001,6.318474,-0.667621,-7.9695805
35522,6.432137,-0.41158,-8.712579,61.950001,-83.860001,-35.98,-59.367706,-120.252708,-209.048523,356,7.12,0.098109,0.311078,-0.5551549999999992,6.3830825,-0.567119,-8.4350015
35542,6.463245,0.571905,-9.710421,45.990002,-84.910004,-48.16,-58.286552,-123.059303,-206.88974,357,7.14,0.0311079999999996,0.983485,-0.9978420000000005,6.447691,0.0801625,-9.2115
35562,6.3771,0.622156,-10.18661,36.330002,-80.360001,-52.150002,-61.754662,-124.050034,-206.341202,358,7.16,-0.0861449999999992,0.050251,-0.4761889999999997,6.4201725,0.5970305,-9.9485155
35582,6.31967,0.454653,-10.208146,38.43,-72.309998,-52.009998,-60.461082,-125.570541,-204.376434,359,7.18,-0.05743,-0.167503,-0.0215359999999993,6.348385,0.5384045,-10.197378
35601,6.054058,1.060058,-9.954497,41.93,-65.590004,-54.529999,-61.284058,-123.269188,-201.159241,360,7.2,-0.2656119999999999,0.605405,0.2536489999999993,6.186864,0.7573555000000001,-10.0813215
35621,5.640084,1.641535,-9.894675,49.349998,-63.279999,-42.139999,-62.604286,-125.155136,-200.503418,361,7.22,-0.4139740000000005,0.581477,0.0598220000000004,5.847071,1.3507965,-9.924586
35641,5.424723,1.579319,-9.485488,53.130001,-59.5,-29.540001,-64.432388,-128.030792,-201.141113,362,7.24,-0.2153609999999997,-0.062216,0.4091869999999993,5.5324035,1.610427,-9.6900815
35661,5.080144,1.165346,-8.966227,50.610001,-54.599998,-28.700001,-65.384308,-127.837288,-198.71727,363,7.26,-0.3445790000000004,-0.4139729999999999,0.5192610000000002,5.2524335,1.3723325000000002,-9.2258575
35681,4.603955,0.847089,-8.729329,45.150002,-47.18,-37.59,-68.632759,-129.42012,-200.09758,364,7.28,-0.4761889999999997,-0.318257,0.236898,4.8420495,1.0062175,-8.847778
35701,4.297663,0.856661,-9.291662,40.459999,-43.259998,-40.32,-68.773224,-129.370926,-198.125305,365,7.3,-0.306292,0.009572,-0.5623330000000006,4.450809,0.8518750000000002,-9.0104955
35721,4.008121,0.794446,-9.236626,36.889999,-42.279999,-35.07,-70.943016,-131.400375,-199.311646,366,7.32,-0.2895419999999999,-0.062215,0.0550360000000011,4.152892,0.8255535,-9.264144
35741,4.18041,0.358936,-9.483095,42.07,-45.920002,-25.41,-70.141861,-132.587189,-198.546097,367,7.34,0.1722890000000001,-0.43551,-0.2464690000000011,4.094265500000001,0.5766910000000001,-9.3598605
35761,4.678135,0.533619,-10.236861,40.950001,-42.349998,-26.389999,-71.229073,-131.582825,-196.678543,368,7.36,0.497725,0.1746829999999999,-0.7537659999999988,4.4292725,0.4462775000000001,-9.859978
35781,3.761652,1.385494,-9.885103,37.170002,-33.810001,-18.9,-73.04348,-134.735382,-198.066345,369,7.38,-0.916483,0.851875,0.3517579999999984,4.2198935,0.9595565,-10.060982
35801,2.964813,0.856661,-9.346699,36.75,-36.330002,-3.57,-73.414314,-134.935669,-197.959167,370,7.4,-0.7968390000000003,-0.528833,0.5384040000000017,3.3632325,1.1210775000000002,-9.615901
35821,2.541268,-0.179468,-8.547467,20.65,-45.57,-9.03,-74.394928,-135.027985,-197.548416,371,7.42,-0.4235449999999998,-1.036129,0.7992319999999999,2.7530405,0.3385965000000001,-8.947083
35841,2.491017,-0.471403,-8.810688,9.31,-50.959999,-19.25,-72.955421,-140.556961,-196.295181,372,7.44,-0.0502510000000002,-0.291935,-0.2632210000000015,2.5161425,-0.3254354999999999,-8.6790775
35861,2.763809,0.129217,-9.356271,6.51,-57.68,-22.68,-74.027611,-138.509064,-195.504425,373,7.46,0.2727920000000003,0.60062,-0.5455829999999988,2.627413,-0.1710929999999998,-9.0834795
35881,2.912169,0.58387,-10.114822,7.63,-52.290001,-23.52,-75.938316,-139.522415,-196.652557,374,7.48,0.1483599999999998,0.454653,-0.7585510000000006,2.8379890000000003,0.3565435000000001,-9.7355465
35901,2.811667,0.725051,-10.016713,11.69,-44.240002,-14.0,-77.637909,-140.570084,-197.667999,375,7.5,-0.100502,0.141181,0.0981090000000008,2.861918,0.6544605000000001,-10.0657675
35921,2.246941,0.6748,-9.502238,13.3,-48.02,-5.6,-77.492767,-141.099091,-195.659973,376,7.52,-0.5647259999999998,-0.050251,0.5144749999999991,2.529304,0.6999255000000001,-9.7594755
35941,1.610427,0.653264,-9.057158,7.42,-55.16,-12.32,-81.119728,-141.28392,-196.369354,377,7.54,-0.636514,-0.021536,0.4450800000000008,1.928684,0.6640320000000001,-9.279698
35961,2.093795,-0.043072,-9.875532,2.17,-55.510002,-27.09,-81.139877,-142.608307,-196.603989,378,7.56,0.483368,-0.696336,-0.8183740000000004,1.852111,0.3050960000000001,-9.466345
35981,2.335478,0.098109,-10.488116,1.33,-50.119999,-37.450001,-80.885956,-142.353851,-194.037247,379,7.58,0.2416830000000001,0.141181,-0.612584,2.2146365,0.0275185000000001,-10.181824
36000,1.715715,0.172289,-10.471366,3.08,-39.27,-29.33,-83.527161,-142.165497,-193.845978,380,7.6,-0.6197630000000001,0.07418,0.01675,2.0255965,0.1351990000000001,-10.479741
36020,0.763338,-1.186882,-9.547704,17.08,-50.68,-0.77,-82.392418,-142.880081,-193.13913,381,7.62,-0.952377,-1.359171,0.9236620000000002,1.2395265,-0.5072964999999998,-10.009535
36040,0.595834,-0.966735,-9.093051,30.52,-57.68,15.75,-83.717789,-145.046906,-193.794739,382,7.64,-0.167504,0.2201469999999999,0.4546529999999986,0.679586,-1.0768084999999998,-9.3203775
36060,1.529068,-0.332614,-9.743921,47.459999,-68.389999,22.68,-88.205368,-142.457504,-196.249557,383,7.66,0.933234,0.6341209999999999,-0.6508699999999994,1.062451,-0.6496744999999999,-9.418486
36080,1.421387,-0.531226,-10.811159,33.880001,-55.650002,8.96,-88.053444,-145.625381,-193.30748,384,7.68,-0.1076810000000001,-0.1986119999999999,-1.0672379999999997,1.4752275,-0.4319199999999999,-10.27754
36100,0.665228,-1.643928,-9.856388,28.700001,-54.950001,13.16,-89.653351,-150.131683,-194.095581,385,7.7,-0.7561589999999999,-1.112702,0.9547709999999991,1.0433075,-1.087577,-10.3337735
36120,0.887769,-1.483603,-9.485488,32.27,-72.519997,21.77,-93.459198,-146.314987,-195.075745,386,7.72,0.222541,0.160325,0.3709000000000007,0.7764985,-1.5637655,-9.670938
36140,0.619763,-1.603248,-9.86596,21.77,-70.419998,8.05,-95.249626,-149.182709,-194.590805,387,7.74,-0.2680060000000001,-0.119645,-0.3804719999999992,0.7537659999999999,-1.5434255,-9.675724
36160,-0.05743,-1.433352,-8.882475,7.98,-69.860001,5.11,-97.363655,-147.240021,-195.213562,388,7.76,-0.6771929999999999,0.169896,0.983485,0.2811665,-1.5183,-9.3742175
36180,1.411816,-2.005257,-9.822887,-10.71,-58.099998,3.99,-99.373726,-149.034836,-196.639755,389,7.78,1.469246,-0.5719049999999999,-0.9404120000000002,0.6771929999999999,-1.7193044999999998,-9.352681
36200,-1.095952,-1.251491,-8.009064,1.26,-40.25,5.74,-100.299995,-150.995422,-196.560532,390,7.8,-2.507768,0.7537659999999999,1.8138229999999995,0.1579319999999999,-1.6283739999999995,-8.9159755
36220,0.73223,-1.517104,-8.968619,-10.99,5.53,-0.77,-100.930702,-148.732361,-193.771988,391,7.82,1.828182,-0.2656130000000001,-0.959555,-0.181861,-1.3842975,-8.4888415
36240,0.531226,-2.055508,-10.605369,-4.9,2.1,-5.67,-100.759018,-150.374924,-195.606354,392,7.84,-0.201004,-0.5384040000000001,-1.6367499999999993,0.6317280000000001,-1.7863060000000002,-9.786994
36260,0.313471,-1.653499,-10.105251,6.65,-10.85,0.49,-100.620659,-148.265091,-194.532349,393,7.86,-0.2177549999999999,0.402009,0.5001179999999987,0.4223485,-1.8545035,-10.35531
36280,0.366115,-1.80186,-10.445044,4.48,-3.78,0.77,-101.859474,-148.332977,-195.657562,394,7.88,0.052644,-0.1483609999999999,-0.3397929999999984,0.339793,-1.7276794999999998,-10.2751475
36300,0.380472,-1.866468,-11.146166,-9.59,3.01,-1.61,-101.343925,-148.941574,-194.927795,395,7.9,0.0143569999999999,-0.064608,-0.7011219999999998,0.3732935,-1.834164,-10.795604999999998
36320,0.45226,-1.677429,-10.119608,-8.96,3.92,0.98,-100.871201,-149.838974,-196.63208,396,7.92,0.071788,0.1890389999999999,1.0265579999999996,0.416366,-1.7719484999999997,-10.632887
36340,0.325435,-1.476424,-9.435237,-2.31,0.77,-0.91,-102.087669,-146.702316,-195.507156,397,7.94,-0.126825,0.2010050000000001,0.6843709999999987,0.3888475,-1.5769265,-9.7774225
